L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu. Ciê¿ko odró¿niæ przy dwóch skrzy¿owaniach;Czas trwania nadawania sygna³u odjazdu (S)
R;175;68.001338734911;after;
R;253;68.001502143619;before;
R;325;68.001733661898;before;
R;349;68.001733661898;before;
R;295;68.001918118598;before;
R;169;68.002097765254;before;
R;43;68.002418965991;after;
R;73;68.002748996301;after;
R;265;68.00289816864;before;
R;301;68.00294312496;before;
L;277;68.125020143619;before;
L;343;68.125020143619;before;
L;223;68.24576167408;after;
L;331;68.245761686919;before;
L;307;68.314319225189;before;
R;295;69.00131616864;before;
R;307;69.001400225189;before;
R;187;69.001423592286;before;
R;337;69.00170425021;before;
R;319;69.001704251655;before;
R;193;69.001857617307;before;
R;277;69.002426193661;before;
R;343;69.002426193661;before;
R;223;69.002748705688;after;
R;349;69.00274871194;before;
R;259;69.002889661898;before;
L;295;69.686075218682;before;
R;301;70.001391175002;before;
R;253;70.001970193661;before;
R;325;70.00265671194;before;
R;169;70.002776765254;before;
R;103;70.002927646785;after;
R;331;70.002947736961;before;
R;175;70.003093795597;after;
R;265;70.003197218682;before;
R;133;70.003197222863;after;
R;271;70.003203200023;before;
L;307;70.260057275231;before;
L;349;70.32139571194;before;
R;295;71.001441218682;before;
R;349;71.00176871194;before;
R;193;71.001813667349;before;
R;103;71.001813672539;after;
R;307;71.001868275231;before;
R;133;71.00226523339;after;
R;277;71.002265243703;before;
R;343;71.002265243703;before;
R;367;71.002267736961;before;
R;157;71.002949683694;before;
R;337;71.002952300252;before;
R;259;71.00298869237;before;
L;295;71.361668268724;before;
R;301;72.001326225044;before;
R;331;72.001525787003;before;
R;169;72.001627825943;before;
R;157;72.001913718771;before;
R;253;72.002030243703;before;
R;229;72.002170239669;before;
R;181;72.002204741084;after;
R;19;72.002321260371;after;
R;265;72.002321268724;before;
R;271;72.002436250065;before;
R;175;72.003075856289;after;
R;325;72.003103812024;before;
L;349;72.235244761982;before;
L;355;72.460348323853;before;
L;307;72.460348325273;before;
R;277;73.001264293745;before;
R;343;73.001264293745;before;
R;349;73.001430761982;before;
R;193;73.001493754113;before;
R;187;73.001493773117;before;
R;19;73.001607304645;after;
R;295;73.001607318766;before;
R;307;73.002141325273;before;
R;103;73.002395765245;after;
R;187;73.002395779134;before;
R;367;73.002566787003;before;
R;193;73.003063804155;before;
R;103;73.00306380927;after;
R;337;73.003095350294;before;
L;295;73.422521318766;before;
R;271;74.001846250065;before;
R;175;74.002069917001;after;
R;271;74.002342223659;before;
R;37;74.002633240412;after;
R;229;74.00263324868;before;
R;301;74.00263324868;before;
R;331;74.002755837045;before;
R;169;74.00285494735;before;
R;265;74.002875304977;before;
R;49;74.003124847918;after;
R;325;74.003124862066;before;
R;253;74.003166329998;before;
L;349;74.551053812024;before;
L;307;74.568092375315;before;
R;367;75.001287837045;before;
R;307;75.001322375315;before;
R;331;75.00155882734;before;
R;295;75.001584332376;before;
R;343;75.001584346656;before;
R;277;75.001584350727;before;
R;337;75.001769400336;before;
R;187;75.001987829176;before;
R;25;75.002018343277;after;
R;277;75.002018357397;before;
R;343;75.002018357397;before;
R;193;75.002291854197;before;
R;49;75.002306849183;after;
R;349;75.002306862066;before;
R;295;75.002413382418;before;
R;25;75.002413386649;after;
L;295;75.392400382418;before;
L;25;75.392400382578;after;
R;301;76.001510298722;before;
R;175;76.00173997773;after;
R;253;76.001754407439;before;
R;331;76.002178887087;before;
R;325;76.002495912108;before;
R;271;76.002737323743;before;
R;265;76.00278643246;before;
R;169;76.003214008083;before;
L;349;76.312048862066;before;
L;307;76.681205425357;before;
R;367;77.001612888224;before;
R;295;77.00173243246;before;
R;337;77.001751450378;before;
R;187;77.001826879218;before;
R;193;77.002195904239;before;
R;367;77.002353887087;before;
R;277;77.002400457481;before;
R;343;77.002400457481;before;
R;349;77.002904912108;before;
R;103;77.002904917088;after;
R;307;77.002952475399;before;
L;295;77.384267482502;before;
R;325;78.001668912108;before;
R;175;78.001969038477;after;
R;265;78.00225643246;before;
R;169;78.002364068838;before;
R;253;78.002651457481;before;
R;301;78.002888348764;before;
R;271;78.003179373785;before;
R;331;78.003207937129;before;
L;349;78.188613912108;before;
L;307;78.347521475399;before;
R;277;79.001399507523;before;
R;343;79.001399507523;before;
R;193;79.001475954281;before;
R;307;79.001504475399;before;
R;367;79.002314937129;before;
R;289;79.00232848621;before;
R;337;79.00232850042;before;
R;295;79.002561532544;before;
R;187;79.003092979302;before;
R;259;79.003092979302;before;
R;349;79.00321696215;before;
L;295;79.313846532544;before;
R;253;80.001681557565;before;
R;169;80.002016066183;before;
R;325;80.00207196215;before;
R;271;80.002108373785;before;
R;175;80.002359093889;after;
R;331;80.002388987171;before;
R;265;80.002531582586;before;
R;301;80.003127398806;before;
L;349;80.14095596215;before;
L;307;80.468863525441;before;
R;295;81.001256582586;before;
R;187;81.001379979302;before;
R;277;81.001794607607;before;
R;343;81.001794607607;before;
R;337;81.001959550462;before;
R;193;81.002126004323;before;
R;307;81.002575575483;before;
R;367;81.002847987171;before;
R;259;81.003160012192;before;
R;349;81.003178012192;before;
L;295;81.566285632628;before;
R;325;82.001877012192;before;
R;271;82.002147423827;before;
R;175;82.00245814497;after;
R;301;82.002477448848;before;
R;331;82.002610037213;before;
R;253;82.002664607607;before;
R;169;82.002879172193;before;
R;151;82.003085619819;after;
R;211;82.003085632628;before;
R;265;82.003085632628;before;
L;349;82.411265012192;before;
L;307;82.580871575483;before;
