Typ wiadomoœci: L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu;Czas trwania nadawania sygna³u odjazdu (S)
L;235;68.422521063648;after;
L;265;68.500035935814;before;
L;331;68.500035938225;before;
L;349;68.526534057573;before;
L;235;68.526534058464;after;
L;199;68.56420217283;before;
R;349;69.001585057573;before;
R;283;69.001930197851;before;
R;127;69.002071886866;before;
R;199;69.002260222872;before;
R;343;69.002308963246;before;
R;325;69.002378085186;before;
R;73;69.002656886866;before;
R;103;69.002656886866;before;
R;313;69.002695110207;before;
R;349;69.002695110207;before;
R;115;69.002700911887;before;
R;85;69.002973911887;before;
R;331;69.003041988267;before;
L;325;69.182295135228;before;
L;361;69.182295135228;before;
R;295;70.001303110207;before;
R;127;70.001534936908;before;
R;163;70.001534936908;before;
R;145;70.002085961929;before;
R;181;70.002192988267;before;
R;361;70.002262135228;before;
R;277;70.002630013288;before;
R;241;70.002783070936;before;
R;319;70.003100081643;before;
R;253;70.003100095957;before;
R;271;70.003193135228;before;
R;301;70.003193135228;before;
L;199;70.156808222872;before;
L;331;70.337951988267;before;
L;349;70.461401160249;before;
L;115;70.486426961929;before;
L;145;70.486426961929;before;
R;85;71.001941961929;before;
R;343;71.001971013288;before;
R;127;71.00231098695;before;
R;313;71.002409160249;before;
R;349;71.002409160249;before;
R;331;71.002470038309;before;
R;115;71.002654011971;before;
R;325;71.00270018527;before;
R;73;71.00271398695;before;
R;103;71.00271398695;before;
R;199;71.002970222872;before;
R;283;71.003261247893;before;
R;181;72.001447038309;before;
R;259;72.001447038309;before;
R;145;72.001965272914;before;
R;361;72.00206218527;before;
R;337;72.002258056756;before;
R;277;72.00225806333;before;
R;259;72.002653088351;before;
R;253;72.002666145999;before;
R;241;72.00297017102;before;
R;127;72.003075297935;before;
R;163;72.003075297935;before;
R;301;72.00308418527;before;
R;319;72.003414203328;before;
R;295;72.003414210291;before;
L;349;72.169195210291;before;
L;331;72.230611038309;before;
L;115;72.486888322956;before;
L;145;72.486888322956;before;
L;199;72.596130272914;before;
R;199;73.001280272914;before;
R;283;73.001662297935;before;
R;85;73.001820011971;before;
R;331;73.001828038309;before;
R;325;73.001858235312;before;
R;73;73.002150036992;before;
R;343;73.00215806333;before;
R;115;73.002174322956;before;
R;319;73.002383256478;before;
R;313;73.002383260333;before;
R;349;73.002383260333;before;
R;103;73.003180347977;before;
R;127;73.003180347977;before;
S;283;74.000236297941;before;0.000236297941
R;181;74.001260088351;before;
R;259;74.001260088351;before;
R;361;74.001542285354;before;
R;205;74.001616113372;before;
R;277;74.001616113372;before;
R;301;74.001675235312;before;
R;295;74.002005260333;before;
R;199;74.002118373098;after;
R;145;74.002118373126;after;
R;355;74.002552108056;before;
R;151;74.002552113372;before;
R;205;74.002552113372;before;
R;253;74.003077196041;before;
R;259;74.003168138393;before;
R;241;74.003407221062;before;
R;271;74.003407221062;before;
L;331;74.125051088351;before;
L;199;74.309381322968;after;
L;319;74.418353309796;before;
L;349;74.418353310375;before;
S;85;75.000242062706;before;0.000242062706
S;199;75.000245323077;after;0.000245323077
R;367;75.001586080146;before;
R;73;75.001586088413;after;
R;127;75.001693398499;before;
R;115;75.002010423947;before;
R;313;75.002131310375;before;
R;283;75.002408348213;after;
R;343;75.002465113372;before;
R;325;75.002708335396;before;
R;331;75.002886138393;before;
R;349;75.003137310375;before;
S;103;76.000238089072;before;0.000238089072
R;85;76.001309115438;after;
R;73;76.001416089389;after;
R;259;76.001468138393;before;
R;151;76.001728163414;before;
R;205;76.001728163414;before;
R;145;76.002022374304;after;
R;361;76.002192335396;before;
R;301;76.002193271104;before;
R;205;76.002253163414;before;
R;277;76.002253163414;before;
R;295;76.002510296125;before;
R;253;76.002656246083;before;
R;181;76.002700188435;before;
R;259;76.002700188435;before;
R;241;76.003116271104;before;
R;271;76.003116271104;before;
R;163;76.003197400326;before;
L;331;76.246601138393;before;
L;355;76.246601145756;before;
L;349;76.533533360417;before;
S;115;77.000234116137;before;0.000234116137
S;85;77.000234116169;after;0.000234116169
R;313;77.001767360417;before;
R;349;77.001767360417;before;
R;199;77.001943374803;after;
R;331;77.001958138393;before;
R;115;77.002044427345;before;
R;103;77.002046143266;after;
