L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu;Czas trwania nadawania sygna³u odjazdu (S)
R;145;69.003062892479;before;
R;295;69.003062892652;before;
R;349;69.003198200658;before;
L;271;69.118154877359;before;
L;307;69.118154891706;before;
L;319;69.118154893887;before;
L;319;69.156816889525;before;
L;337;69.337953225679;before;
L;247;69.45250690238;before;
L;343;69.452506916727;before;
L;271;69.452506918908;before;
L;109;69.567701936547;after;
L;127;69.567701943611;after;
S;139;70.0002459175;before;0.0002459175
R;205;70.001245150616;before;
R;277;70.001525225679;before;
R;337;70.001933225679;before;
R;343;70.001982929582;before;
R;247;70.001982943929;before;
R;307;70.00198294611;before;
R;205;70.0022192507;before;
R;289;70.0022192507;before;
R;361;70.002250889525;before;
R;301;70.002307929582;before;
R;271;70.002390940256;before;
R;127;70.002426943012;before;
R;49;70.002627270496;after;
R;181;70.002627275721;before;
R;277;70.002627275721;before;
R;307;70.002876967458;before;
R;217;70.002876981805;before;
R;271;70.002876981805;before;
R;301;70.002876983986;before;
R;343;70.002876983986;before;
R;247;70.003180978132;before;
R;301;70.003180992479;before;
R;343;70.003180992479;before;
R;217;70.00318099466;before;
R;271;70.00318099466;before;
R;217;70.003485003153;before;
R;259;70.0034850175;before;
R;307;70.0034850175;before;
R;211;70.003485019681;before;
R;247;70.003485019681;before;
L;199;70.180802917673;before;
L;61;70.20008396766;before;
L;139;70.200083968033;before;
L;127;70.392202993054;before;
L;145;70.392202993054;after;
L;331;70.544199914546;before;
S;145;71.000236942694;before;0.000236942694
S;295;71.000236942694;before;0.000236942694
R;127;71.001764993054;before;
R;145;71.001764993054;before;
R;199;71.002113967715;after;
R;61;71.002173017702;before;
R;139;71.002173018075;before;
R;331;71.002511981805;before;
R;343;71.002511983986;before;
R;349;71.0025872507;before;
R;331;71.002935914546;before;
L;127;71.12774504235;before;
L;271;71.23509999466;before;
L;307;71.235100009007;before;
L;319;71.235100011188;before;
L;337;71.293909275721;before;
L;247;71.423267019681;before;
L;343;71.423267034028;before;
L;271;71.423267036209;before;
L;319;71.443705939567;before;
L;361;71.443705939567;before;
L;139;71.510629018075;before;
L;199;71.510629018075;after;
R;181;72.001473275721;before;
R;277;72.001473275721;before;
R;355;72.001803297713;before;
R;205;72.001803300742;before;
R;247;72.001889019681;before;
R;301;72.001889034028;before;
R;343;72.001889034028;before;
R;217;72.001889036209;before;
R;271;72.001889036209;before;
R;343;72.002180046883;before;
